Plan	Industry	Module	Feature	Details	Per Item Set Up Charges	Item Unit	Common Set Up Fees	Per Item Per Month Maintenances
 Enterprise	Retail	Sales / Billing	3p Orders					
 Essential	Retail	Sales / Billing	Bank Deposit Register Display 					
 Essential	Retail	Sales / Billing	Coupons					
 Essential	Retail	Sales / Billing	Discounts					
 Enterprise	Retail	Sales / Billing	eCommerce Sales					
 Essential	Retail	Sales / Billing	Exchange / Return Sale					
 Essential	Retail	Sales / Billing	Offers					
 Essential	Retail	Sales / Billing	Sale by Barcode Scan					
 Essential	Retail	Sales / Billing	Sales Import by CSV					
 Essential	Retail	Sales / Billing	Sales Incentive					
 Essential	Retail	Sales / Billing	Sales Transactions					
 Essential	Retail	Sales / Billing	Suspended Sales					
 Essential	Retail	Sales / Billing	Various Register Transactions					
Enterprise	Retail	Delivery	Delivery workflow Set UJp	Can Change as per Business Logic			2000	
 Essential	Retail	Challan	Challan Creation & Tracking					
Enterprise	Retail	Webshop	eCommerce Setup				20000	
Enterprise	Retail	Webshop	Guest Orders					
Enterprise	Retail	Webshop	Product Availability					
Enterprise	Retail	Webshop	Registered User Management					
Enterprise	Retail	Webshop	Whatsapp Messages Workflows					
 Essential	Retail	Purchase	Add Product on Purchase					
 Essential	Retail	Purchase	Good Received Notes					
 Essential	Retail	Purchase	Purchase by Barcode 					
 Essential	Retail	Purchase	Purchase using template CSV					
Enterprise	Retail	Inventory Management	3 P Orders					
 Essential	Retail	Inventory Management	Adjustments					
Enterprise	Retail	Inventory Management	Bill of Materials					
Professional	Retail	Inventory Management	Outlets / Franchises Sales					
Enterprise	Retail	Inventory Management	Production unit to Outlets / Franchises workflow					
 Essential	Retail	Inventory Management	Purchase					
Enterprise	Retail	Inventory Management	Raw Materials Management					1000
 Essential	Retail	Inventory Management	Retail Sale					
 Essential	Retail	Inventory Management	Return / Exchange					
 Essential	Retail	Inventory Management	Transfers					
 Essential	Retail	Inventory Management	Wholesale sale					
 Essential	Retail	Attendance	Capture Attendance using Face					
 Essential	Retail	Attendance	Check In, Check Out					
Professional	Retail	Attendance	Customer Sites Check Ins					
Enterprise	Retail	Field Force Management	Site Reports with Biometrics					1000
 Essential	Retail	Expenses	Expenses Maintainance					
 Essential	Retail	Expenses	Reports					
 Essential	Retail	Reports	Adjustment Reports					
 Essential	Retail	Reports	Best Seller 					
 Essential	Retail	Reports	Brands Report					
 Essential	Retail	Reports	Categories and Brand Chart details					
 Essential	Retail	Reports	Categories Report					
 Essential	Retail	Reports	Challans Report					
 Essential	Retail	Reports	Customer Ledgers					
 Essential	Retail	Reports	Customers Report					
 Essential	Retail	Reports	Customerwise Sale Report					
 Essential	Retail	Reports	Daily Purchases					
 Essential	Retail	Reports	Daily Sales					
 Essential	Retail	Reports	Deposit Ledgers					
 Essential	Retail	Reports	Deposit Recharge Report					
 Essential	Retail	Reports	Due Purchases Report					
 Essential	Retail	Reports	Due sales Report					
 Essential	Retail	Reports	Expenses Report					
 Essential	Retail	Reports	HSN Report					
 Essential	Retail	Reports	Monthly Purchases					
 Essential	Retail	Reports	Monthly Sales					
 Essential	Retail	Reports	Overview Chart					
 Essential	Retail	Reports	Payment  Summary 					
 Essential	Retail	Reports	Payment Chart Details					
 Essential	Retail	Reports	Payments Report					
 Essential	Retail	Reports	Product Expiry Alerts					
 Essential	Retail	Reports	Product Ledger					
 Essential	Retail	Reports	Product Quantity Alerts					
 Essential	Retail	Reports	Product varient purchase Report					
 Essential	Retail	Reports	Product varient stock Report					
 Essential	Retail	Reports	Products Combo Items					
 Essential	Retail	Reports	Products costing					
 Essential	Retail	Reports	Products profit and loss					
 Essential	Retail	Reports	Products Report					
 Essential	Retail	Reports	Products Transaction Report					
 Essential	Retail	Reports	Productwise Sale Report					
 Essential	Retail	Reports	Profit & Loss					
 Essential	Retail	Reports	Purchases Report					
 Essential	Retail	Reports	Purchases Report GST					
 Essential	Retail	Reports	Register Report					
 Essential	Retail	Reports	Sale Purchase Chart Details 					
 Essential	Retail	Reports	Sale Report					
 Essential	Retail	Reports	Sales extended Report					
 Essential	Retail	Reports	Sales GST Report					
 Essential	Retail	Reports	Sales person Report					
 Essential	Retail	Reports	Simple Tax / GST Reports					
 Essential	Retail	Reports	Staff Report					
 Essential	Retail	Reports	Suppliers Report					
 Essential	Retail	Reports	Tax Report					
 Essential	Retail	Reports	Transfer Reports 					
 Essential	Retail	Reports	Transfer Request Report					
 Essential	Retail	Reports	User Log Action 					
 Essential	Retail	Reports	Warehous Stock Chart					
 Essential	Retail	Reports	Warehouse Sales Report					
